Class Name                                                                                                                                                                                                                                                                                        | Shallow Heap | Retained Heap | Percentage
class sun.management.Agent @ 0x269ac7b8                                                                                                                                                                                                                                                           |           32 |           568 |      0.06%
javax.management.MBeanOperationInfo @ 0x22ef3940                                                                                                                                                                                                                                                  |           40 |           552 |      0.06%
javax.management.MBeanOperationInfo @ 0x22ef4970                                                                                                                                                                                                                                                  |           40 |           552 |      0.06%
java.awt.EventDispatchThread @ 0x22e9be50  AWT-EventQueue-0                                                                                                                                                                                                                                       |          120 |           544 |      0.06%
com.sun.jmx.mbeanserver.MBeanServerDelegateImpl @ 0x22ed56f8                                                                                                                                                                                                                                      |           40 |           536 |      0.06%
javax.management.openmbean.CompositeType @ 0x22edf360                                                                                                                                                                                                                                             |           48 |           536 |      0.06%
short[256] @ 0x22ea34a0                                                                                                                                                                                                                                                                           |          528 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea4dc0                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea4e18                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea4ec8                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea4f20                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea4f78                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea4fd0                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea52f8                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea53a8                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea5458                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea54b0                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea5508                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea5560                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea55b8                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.font.CompositeFont @ 0x22ea5668                                                                                                                                                                                                                                                               |           88 |           528 |      0.06%
sun.awt.windows.WFramePeer @ 0x22ecfae0                                                                                                                                                                                                                                                           |          144 |           528 |      0.06%
java.io.InvalidClassException @ 0x22f2d490                                                                                                                                                                                                                                                        |           32 |           528 |      0.06%
javax.management.openmbean.CompositeType @ 0x22ef2d60                                                                                                                                                                                                                                             |           48 |           520 |      0.06%
javax.management.MBeanOperationInfo @ 0x22ef38e8                                                                                                                                                                                                                                                  |           40 |           520 |      0.06%
class java.awt.Color @ 0x2b751718                                                                                                                                                                                                                                                                 |          120 |           520 |      0.06%
class java.awt.KeyboardFocusManager @ 0x2b756d58                                                                                                                                                                                                                                                  |          104 |           520 |      0.06%
class sun.java2d.SunGraphicsEnvironment @ 0x2b750a58                                                                                                                                                                                                                                              |           56 |           512 |      0.05%
sun.font.CompositeFont @ 0x22ea5028                                                                                                                                                                                                                                                               |           88 |           504 |      0.05%
sun.font.CompositeFont @ 0x22ea52a0                                                                                                                                                                                                                                                               |           88 |           504 |      0.05%
sun.font.CompositeFont @ 0x22ea5350                                                                                                                                                                                                                                                               |           88 |           504 |      0.05%
sun.font.CompositeFont @ 0x22ea5400                                                                                                                                                                                                                                                               |           88 |           504 |      0.05%
sun.font.CompositeFont @ 0x22ea5610                                                                                                                                                                                                                                                               |           88 |           504 |      0.05%
class sun.management.counter.Units @ 0x26b2bbf0                                                                                                                                                                                                                                                   |           48 |           504 |      0.05%
class java.awt.color.ICC_Profile @ 0x2b753398                                                                                                                                                                                                                                                     |          504 |           504 |      0.05%
javax.management.openmbean.CompositeType @ 0x22ef2d90                                                                                                                                                                                                                                             |           48 |           488 |      0.05%
javax.management.MBeanOperationInfo @ 0x22ef4178                                                                                                                                                                                                                                                  |           40 |           488 |      0.05%
javax.management.MBeanOperationInfo @ 0x22ef4218                                                                                                                                                                                                                                                  |           40 |           488 |      0.05%
javax.management.MBeanOperationInfo @ 0x22ef4268                                                                                                                                                                                                                                                  |           40 |           488 |      0.05%
class sun.awt.SunHints$Value @ 0x2b755318                                                                                                                                                                                                                                                         |            8 |           488 |      0.05%
class sun.security.jca.ProviderList @ 0x2b7780d8                                                                                                                                                                                                                                                  |           24 |           488 |      0.05%
class java.util.Calendar @ 0x2b76f4d8                                                                                                                                                                                                                                                             |          288 |           480 |      0.05%
sun.awt.Win32GraphicsDevice @ 0x22e5c460                                                                                                                                                                                                                                                          |           72 |           472 |      0.05%
sun.rmi.transport.proxy.RMIMasterSocketFactory @ 0x22f021f8                                                                                                                                                                                                                                       |           24 |           472 |      0.05%
class sun.rmi.server.LoaderHandler @ 0x26b4e438                                                                                                                                                                                                                                                   |           32 |           472 |      0.05%
class java.util.GregorianCalendar @ 0x2b76f538                                                                                                                                                                                                                                                    |          104 |           472 |      0.05%
javax.swing.BufferStrategyPaintManager @ 0x22ed4f88                                                                                                                                                                                                                                               |           72 |           464 |      0.05%
javax.management.openmbean.ArrayType @ 0x22ed9fa0                                                                                                                                                                                                                                                 |           48 |           464 |      0.05%
javax.management.openmbean.ArrayType @ 0x22ee48d0                                                                                                                                                                                                                                                 |           48 |           464 |      0.05%
javax.management.openmbean.ArrayType @ 0x22ee6ea8                                                                                                                                                                                                                                                 |           48 |           464 |      0.05%
javax.swing.ToolTipManager @ 0x22ed1740                                                                                                                                                                                                                                                           |           88 |           448 |      0.05%
javax.swing.JLayeredPane @ 0x22ed42e0                                                                                                                                                                                                                                                             |          336 |           448 |      0.05%
components.BorderDemo @ 0x22ed4fd0                                                                                                                                                                                                                                                                |          328 |           448 |      0.05%
class java.lang.management.ManagementFactory @ 0x269b6ec8                                                                                                                                                                                                                                         |           48 |           448 |      0.05%
class javax.swing.plaf.metal.DefaultMetalTheme @ 0x2b75a898                                                                                                                                                                                                                                       |           48 |           448 |      0.05%
sun.management.MemoryPoolImpl @ 0x22ef15a0                                                                                                                                                                                                                                                        |           48 |           440 |      0.05%
sun.management.MemoryPoolImpl @ 0x22ef15d0                                                                                                                                                                                                                                                        |           48 |           440 |      0.05%
java.util.concurrent.ThreadPoolExecutor @ 0x22f02360                                                                                                                                                                                                                                              |           72 |           440 |      0.05%
class sun.security.jca.Providers @ 0x2b778078                                                                                                                                                                                                                                                     |           24 |           440 |      0.05%
javax.management.openmbean.CompositeType @ 0x22ed6780                                                                                                                                                                                                                                             |           48 |           432 |      0.05%
class sun.font.GlyphList @ 0x2b756038                                                                                                                                                                                                                                                             |           24 |           432 |      0.05%
class sun.awt.windows.WWindowPeer @ 0x2b751578                                                                                                                                                                                                                                                    |           24 |           424 |      0.05%
class java.lang.reflect.Proxy @ 0x2b765010                                                                                                                                                                                                                                                        |           40 |           424 |      0.05%
javax.management.ObjectName @ 0x22ef2e58                                                                                                                                                                                                                                                          |           32 |           416 |      0.04%
javax.management.ObjectName @ 0x22ef2e78                                                                                                                                                                                                                                                          |           32 |           416 |      0.04%
javax.management.ObjectName @ 0x22ef2e98                                                                                                                                                                                                                                                          |           32 |           416 |      0.04%
javax.management.ObjectName @ 0x22ef2f78                                                                                                                                                                                                                                                          |           32 |           416 |      0.04%
javax.management.ObjectName @ 0x22ef2f98                                                                                                                                                                                                                                                          |           32 |           416 |      0.04%
javax.management.ObjectName @ 0x22ef2ff8                                                                                                                                                                                                                                                          |           32 |           416 |      0.04%
javax.management.ObjectName @ 0x22ef3038                                                                                                                                                                                                                                                          |           32 |           416 |      0.04%
javax.management.ObjectName @ 0x22ef3098                                                                                                                                                                                                                                                          |           32 |           416 |      0.04%
javax.management.ObjectName @ 0x22ef30b8                                                                                                                                                                                                                                                          |           32 |           416 |      0.04%
javax.management.ObjectName @ 0x22ef30f8                                                                                                                                                                                                                                                          |           32 |           416 |      0.04%
class javax.management.remote.JMXConnectionNotification @ 0x26b69898                                                                                                                                                                                                                              |           24 |           416 |      0.04%
sun.management.MemoryPoolImpl @ 0x22ef1510                                                                                                                                                                                                                                                        |           48 |           408 |      0.04%
sun.rmi.transport.DGCImpl @ 0x22f02078                                                                                                                                                                                                                                                            |           16 |           408 |      0.04%
class sun.net.www.ParseUtil @ 0x2b74d340                                                                                                                                                                                                                                                          |          288 |           408 |      0.04%
class java.awt.Component @ 0x2b74e8a0                                                                                                                                                                                                                                                             |          152 |           408 |      0.04%
javax.swing.plaf.InputMapUIResource @ 0x22ed5238                                                                                                                                                                                                                                                  |           16 |           392 |      0.04%
sun.management.MemoryPoolImpl @ 0x22ef1540                                                                                                                                                                                                                                                        |           48 |           392 |      0.04%
javax.management.openmbean.ArrayType @ 0x22ef2e08                                                                                                                                                                                                                                                 |           48 |           392 |      0.04%
class com.sun.jmx.mbeanserver.MBeanInstantiator @ 0x269f6330                                                                                                                                                                                                                                      |            8 |           392 |      0.04%
java.net.URL @ 0x22ed3378  /C:/Documents%20and%20Settings/D044774/Desktop/components-BorderDemoProject/components-BorderDemoProject/build/classes/components/images/wavy.gif                                                                                                                      |           56 |           384 |      0.04%
sun.management.MemoryPoolImpl @ 0x22ef14b0                                                                                                                                                                                                                                                        |           48 |           384 |      0.04%
sun.management.MemoryPoolImpl @ 0x22ef14e0                                                                                                                                                                                                                                                        |           48 |           384 |      0.04%
class sun.java2d.loops.CompositeType @ 0x2b7546b8                                                                                                                                                                                                                                                 |          144 |           384 |      0.04%
class sun.java2d.windows.Win32SurfaceData @ 0x2b7555b8                                                                                                                                                                                                                                            |          216 |           384 |      0.04%
class sun.rmi.server.MarshalInputStream @ 0x26b3e5a0                                                                                                                                                                                                                                              |            8 |           376 |      0.04%
class sun.awt.AppContext @ 0x2b750758                                                                                                                                                                                                                                                             |           32 |           376 |      0.04%
class sun.util.calendar.ZoneInfoFile @ 0x2b763a08                                                                                                                                                                                                                                                 |           64 |           376 |      0.04%
sun.management.MemoryPoolImpl @ 0x22ef1570                                                                                                                                                                                                                                                        |           48 |           368 |      0.04%
java.lang.Thread @ 0x22f222c0  JMX server connection timeout 19                                                                                                                                                                                                                                   |          104 |           368 |      0.04%
class sun.management.MemoryImpl @ 0x26a43e48                                                                                                                                                                                                                                                      |           32 |           368 |      0.04%
sun.misc.MetaIndex @ 0x22e72220                                                                                                                                                                                                                                                                   |           16 |           360 |      0.04%
java.util.jar.JarFile @ 0x22e82a58                                                                                                                                                                                                                                                                |           48 |           360 |      0.04%
class java.io.ObjectInputStream @ 0x2b752078                                                                                                                                                                                                                                                      |           16 |           360 |      0.04%
class sun.awt.Symbol$Encoder @ 0x2b7583d0                                                                                                                                                                                                                                                         |           16 |           360 |      0.04%
class sun.awt.CausedFocusEvent$Cause @ 0x2b759090                                                                                                                                                                                                                                                 |           64 |           360 |      0.04%
java.util.jar.JarFile @ 0x22ef7240                                                                                                                                                                                                                                                                |           48 |           352 |      0.04%
java.lang.Thread @ 0x22f01458  RMI TCP Accept-0                                                                                                                                                                                                                                                   |          104 |           352 |      0.04%
java.lang.ref.SoftReference @ 0x22f07860                                                                                                                                                                                                                                                          |           32 |           352 |      0.04%
sun.rmi.transport.Target @ 0x22f22288                                                                                                                                                                                                                                                             |           56 |           352 |      0.04%
java.util.jar.JarFile @ 0x22e82ac0                                                                                                                                                                                                                                                                |           48 |           344 |      0.04%
javax.management.openmbean.OpenMBeanOperationInfoSupport @ 0x22ef3910                                                                                                                                                                                                                             |           48 |           344 |      0.04%
javax.management.openmbean.OpenMBeanOperationInfoSupport @ 0x22ef4910                                                                                                                                                                                                                             |           48 |           344 |      0.04%
javax.management.openmbean.OpenMBeanOperationInfoSupport @ 0x22ef4940                                                                                                                                                                                                                             |           48 |           344 |      0.04%
javax.management.StandardEmitterMBean @ 0x22f00230                                                                                                                                                                                                                                                |           24 |           344 |      0.04%
class sun.awt.SunHints @ 0x2b754a78                                                                                                                                                                                                                                                               |          344 |           344 |      0.04%
class java.util.jar.Attributes$Name @ 0x2b75d808                                                                                                                                                                                                                                                  |           72 |           344 |      0.04%
java.net.URL @ 0x22e5c578  /C:/Documents%20and%20Settings/D044774/Desktop/components-BorderDemoProject/components-BorderDemoProject/build/classes/                                                                                                                                                |           56 |           336 |      0.04%
sun.misc.MetaIndex @ 0x22e72150                                                                                                                                                                                                                                                                   |           16 |           336 |      0.04%
javax.management.openmbean.ArrayType @ 0x22ef2b70                                                                                                                                                                                                                                                 |           48 |           336 |      0.04%
java.util.concurrent.ScheduledThreadPoolExecutor @ 0x22f013b8                                                                                                                                                                                                                                     |           80 |           336 |      0.04%
class javax.management.openmbean.ArrayType @ 0x26a37eb8                                                                                                                                                                                                                                           |           32 |           336 |      0.04%
class java.lang.management.MemoryType @ 0x26a89ab8                                                                                                                                                                                                                                                |           24 |           336 |      0.04%
class sun.net.www.MimeTable @ 0x2b76f1d8                                                                                                                                                                                                                                                          |           24 |           336 |      0.04%
sun.awt.FontDescriptor[3] @ 0x22ed4260                                                                                                                                                                                                                                                            |           24 |           328 |      0.04%
javax.management.MBeanNotificationInfo @ 0x22ed6ea0                                                                                                                                                                                                                                               |           32 |           320 |      0.03%
java.lang.Thread @ 0x22f22348  RMI Scheduler(0)                                                                                                                                                                                                                                                   |          104 |           320 |      0.03%
java.io.ObjectStreamClass @ 0x22f34168                                                                                                                                                                                                                                                            |           96 |           320 |      0.03%
class java.util.Date @ 0x2b763468                                                                                                                                                                                                                                                                 |           32 |           320 |      0.03%
java.lang.String @ 0x22f05500  (Ljavax/management/ObjectName;Ljava/rmi/MarshalledObject;Ljavax/security/auth/Subject;)Ljava/util/Set<Ljavax/management/ObjectInstance;>;                                                                                                                          |           24 |           312 |      0.03%
class sun.rmi.transport.tcp.TCPEndpoint @ 0x26ac0a30                                                                                                                                                                                                                                              |           24 |           312 |      0.03%
class sun.misc.Signal @ 0x2b74c080                                                                                                                                                                                                                                                                |            8 |           312 |      0.03%
javax.management.MBeanOperationInfo @ 0x22ef41f0                                                                                                                                                                                                                                                  |           40 |           304 |      0.03%
javax.management.MBeanOperationInfo @ 0x22ef4240                                                                                                                                                                                                                                                  |           40 |           304 |      0.03%
javax.management.MBeanOperationInfo @ 0x22ef4290                                                                                                                                                                                                                                                  |           40 |           304 |      0.03%
javax.management.MBeanOperationInfo @ 0x22ef42e0                                                                                                                                                                                                                                                  |           40 |           304 |      0.03%
java.lang.String @ 0x22f05590  (Ljavax/management/ObjectName;Ljava/rmi/MarshalledObject;Ljavax/security/auth/Subject;)Ljava/util/Set<Ljavax/management/ObjectName;>;                                                                                                                              |           24 |           304 |      0.03%
javax.management.openmbean.ArrayType @ 0x22ef2d10                                                                                                                                                                                                                                                 |           48 |           296 |      0.03%
javax.management.openmbean.ArrayType @ 0x22ef2eb8                                                                                                                                                                                                                                                 |           48 |           296 |      0.03%
class java.awt.Event @ 0x2b752498                                                                                                                                                                                                                                                                 |          296 |           296 |      0.03%
java.lang.String[2] @ 0x22ef1eb0                                                                                                                                                                                                                                                                  |           24 |           288 |      0.03%
class sun.awt.windows.WDesktopProperties @ 0x2b75a2f8                                                                                                                                                                                                                                             |           24 |           288 |      0.03%
javax.management.ObjectName @ 0x22ef2f58                                                                                                                                                                                                                                                          |           32 |           280 |      0.03%
