Class Name                                                                                                                                                                                                                                                                                        | Shallow Heap | Retained Heap | Percentage
java.util.HashMap @ 0x22f26ec0                                                                                                                                                                                                                                                                    |           40 |         3,104 |      0.33%
sun.font.TrueTypeGlyphMapper @ 0x22ed3978                                                                                                                                                                                                                                                         |           32 |         2,976 |      0.32%
class java.util.ResourceBundle @ 0x2b74f560                                                                                                                                                                                                                                                       |           24 |         2,944 |      0.32%
class sun.rmi.server.Activation$ActivationSystemImpl_Stub @ 0x26b41970                                                                                                                                                                                                                            |           72 |         2,792 |      0.30%
com.sun.jmx.mbeanserver.PerInterface @ 0x22ef2d40                                                                                                                                                                                                                                                 |           32 |         2,736 |      0.29%
class java.lang.Character$CharacterCache @ 0x2b75ae90                                                                                                                                                                                                                                             |            8 |         2,584 |      0.28%
class sun.util.TimeZoneNameUtility @ 0x2b763d68                                                                                                                                                                                                                                                   |            8 |         2,576 |      0.28%
com.sun.jmx.mbeanserver.PerInterface @ 0x22ef2e38                                                                                                                                                                                                                                                 |           32 |         2,568 |      0.28%
sun.misc.MetaIndex @ 0x22e72118                                                                                                                                                                                                                                                                   |           16 |         2,560 |      0.27%
sun.font.CompositeFont @ 0x22ea4e70                                                                                                                                                                                                                                                               |           88 |         2,544 |      0.27%
class javax.management.remote.rmi.RMIConnectionImpl_Stub @ 0x26b09048                                                                                                                                                                                                                             |          160 |         2,432 |      0.26%
class sun.misc.MetaIndex @ 0x2b74cb60                                                                                                                                                                                                                                                             |            8 |         2,392 |      0.26%
class java.util.Locale @ 0x2b74ce00                                                                                                                                                                                                                                                               |          128 |         2,304 |      0.25%
class sun.font.Type1Font @ 0x2b755d38                                                                                                                                                                                                                                                             |           24 |         2,272 |      0.24%
com.sun.jmx.mbeanserver.PerInterface @ 0x22ef2ca8                                                                                                                                                                                                                                                 |           32 |         2,264 |      0.24%
sun.misc.Launcher$AppClassLoader @ 0x22e9c1e8                                                                                                                                                                                                                                                     |           72 |         2,224 |      0.24%
sun.awt.image.ToolkitImage @ 0x22ebba08                                                                                                                                                                                                                                                           |           48 |         2,064 |      0.22%
class sun.reflect.misc.MethodUtil @ 0x2b75bbb0                                                                                                                                                                                                                                                    |           16 |         2,056 |      0.22%
com.sun.jmx.mbeanserver.PerInterface @ 0x22efca00                                                                                                                                                                                                                                                 |           32 |         2,024 |      0.22%
com.sun.jmx.mbeanserver.PerInterface @ 0x22efc988                                                                                                                                                                                                                                                 |           32 |         1,824 |      0.20%
class com.sun.jmx.remote.util.EnvHelp @ 0x26a91d58                                                                                                                                                                                                                                                |           56 |         1,760 |      0.19%
java.lang.ref.SoftReference @ 0x22eb3bd8                                                                                                                                                                                                                                                          |           32 |         1,664 |      0.18%
class java.awt.RenderingHints$Key @ 0x2b755258                                                                                                                                                                                                                                                    |            8 |         1,656 |      0.18%
sun.awt.AppContext @ 0x22e9d4b8                                                                                                                                                                                                                                                                   |           56 |         1,568 |      0.17%
class sun.misc.VM @ 0x2b74b180                                                                                                                                                                                                                                                                    |           40 |         1,512 |      0.16%
com.sun.jmx.mbeanserver.PerInterface @ 0x22efc9a8                                                                                                                                                                                                                                                 |           32 |         1,464 |      0.16%
class sun.java2d.SunGraphics2D @ 0x2b754838                                                                                                                                                                                                                                                       |          168 |         1,448 |      0.16%
com.sun.jmx.mbeanserver.MXBeanLookup @ 0x22efdbf0                                                                                                                                                                                                                                                 |           24 |         1,384 |      0.15%
class sun.nio.cs.StandardCharsets @ 0x2b74ab20                                                                                                                                                                                                                                                    |          152 |         1,384 |      0.15%
javax.management.MBeanAttributeInfo[7] @ 0x22ed0088                                                                                                                                                                                                                                               |           40 |         1,352 |      0.14%
class java.awt.font.TextAttribute @ 0x2b750158                                                                                                                                                                                                                                                    |          248 |         1,336 |      0.14%
class java.util.jar.JarFile @ 0x2b75bed8                                                                                                                                                                                                                                                          |           24 |         1,336 |      0.14%
java.awt.image.IndexColorModel @ 0x22ebf358                                                                                                                                                                                                                                                       |           88 |         1,304 |      0.14%
class java.util.TimeZone$DisplayNames @ 0x2b763d08                                                                                                                                                                                                                                                |            8 |         1,304 |      0.14%
class sun.java2d.Disposer @ 0x2b7560f8                                                                                                                                                                                                                                                            |           24 |         1,280 |      0.14%
sun.font.FontDesignMetrics @ 0x22ed7990                                                                                                                                                                                                                                                           |           72 |         1,272 |      0.14%
com.sun.jmx.mbeanserver.OpenConverter$CompositeConverter @ 0x22eeaf50                                                                                                                                                                                                                             |           40 |         1,272 |      0.14%
class sun.rmi.transport.ObjectTable @ 0x26ae5d90                                                                                                                                                                                                                                                  |           40 |         1,256 |      0.13%
class sun.awt.windows.WFontConfiguration @ 0x2b7562d8                                                                                                                                                                                                                                             |           16 |         1,248 |      0.13%
javax.management.openmbean.CompositeType @ 0x22ef2ad0                                                                                                                                                                                                                                             |           48 |         1,232 |      0.13%
long[143] @ 0x22ed49c0                                                                                                                                                                                                                                                                            |        1,160 |         1,160 |      0.12%
javax.swing.RepaintManager @ 0x22ed8cd8                                                                                                                                                                                                                                                           |           64 |         1,112 |      0.12%
char[537] @ 0x22e6b730  C:\WINDOWS\system32;.;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\sapdb\programs\bin;C:\sapdb\programs\pgm;c:\maketools\perl\bin;c:\maketools\bin;C:\PROGRA~1\SECUDE\SECUDE~1;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\Program F...       |        1,088 |         1,088 |      0.12%
class java.text.SimpleDateFormat @ 0x2b76f418                                                                                                                                                                                                                                                     |           56 |         1,088 |      0.12%
sun.awt.Win32GraphicsEnvironment @ 0x22ea24b8                                                                                                                                                                                                                                                     |           48 |         1,080 |      0.12%
class java.lang.CharacterDataLatin1 @ 0x2b74d280                                                                                                                                                                                                                                                  |           16 |         1,072 |      0.11%
javax.swing.JRootPane @ 0x22ea58f0                                                                                                                                                                                                                                                                |          360 |         1,064 |      0.11%
class sun.font.FontFamily @ 0x2b756578                                                                                                                                                                                                                                                            |            8 |         1,064 |      0.11%
sun.awt.windows.WToolkit @ 0x22e9bd88                                                                                                                                                                                                                                                             |           64 |         1,032 |      0.11%
com.sun.jmx.mbeanserver.OpenConverter$CompositeConverter @ 0x22ee4a78                                                                                                                                                                                                                             |           40 |         1,016 |      0.11%
com.sun.jmx.mbeanserver.PerInterface @ 0x22efca38                                                                                                                                                                                                                                                 |           32 |         1,016 |      0.11%
class java.net.InetAddress @ 0x2b764488                                                                                                                                                                                                                                                           |           48 |         1,008 |      0.11%
class sun.security.util.SecurityConstants @ 0x2b77b868                                                                                                                                                                                                                                            |          176 |         1,008 |      0.11%
class sun.awt.SunToolkit @ 0x2b750db8                                                                                                                                                                                                                                                             |          112 |         1,000 |      0.11%
java.lang.ref.SoftReference @ 0x22ebbdb0                                                                                                                                                                                                                                                          |           32 |           992 |      0.11%
class javax.swing.JComponent @ 0x2b759ec8                                                                                                                                                                                                                                                         |          208 |           992 |      0.11%
class javax.management.Notification @ 0x26a09a88                                                                                                                                                                                                                                                  |           40 |           984 |      0.11%
javax.management.remote.rmi.RMIConnectorServer @ 0x22ef1400                                                                                                                                                                                                                                       |           64 |           976 |      0.10%
class java.awt.Cursor @ 0x2b7508d8                                                                                                                                                                                                                                                                |          112 |           976 |      0.10%
sun.font.TrueTypeFont @ 0x22ed3680                                                                                                                                                                                                                                                                |          136 |           968 |      0.10%
class sun.font.EAttribute @ 0x2b74ff78                                                                                                                                                                                                                                                            |          104 |           904 |      0.10%
com.sun.jmx.mbeanserver.DescriptorCache @ 0x22ef23f8                                                                                                                                                                                                                                              |           16 |           880 |      0.09%
class sun.management.ManagementFactory @ 0x269bac88                                                                                                                                                                                                                                               |          112 |           880 |      0.09%
java.security.ProtectionDomain @ 0x22e9c3c8                                                                                                                                                                                                                                                       |           32 |           856 |      0.09%
sun.font.TrueTypeFont @ 0x22ed3540                                                                                                                                                                                                                                                                |          136 |           832 |      0.09%
